,닉네임,댓글,날짜
6459,✔✔스나이퍼갑(106.101),갓본에게는 항상 미안하고 고맙다 고멘   - dc App,2021.10.25 17:17:13
6461,으ㅡ으ㅡㅇ(203.233),개부럽,2021.10.25 17:18:18
6462,ㅇㅇ(218.236),이게 결혼이지 퐁퐁단들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:19:11
6463,ㅇㅇ(203.226),좀치네 우리 마누라도 백숙은 해준다,2021.10.25 17:19:43
6464,ㅇㅇ(223.62),역시 답은 스시녀였노,2021.10.25 17:20:05
6467,ㅁㄴㅇ(168.188),연애 6년차 여친 재산 = 판교 아파트 소유 (5억 오름)내 재산 = 마이너스 5천만원 나는 여친이 퐁퐁 부인으로 불릴까봐 그게 더 걱정이다,2021.10.25 17:20:33
6478,ㅇㅇ(223.62),개 씨벌놈아 !!!!!!갓본스시녀 어떻게 만나는지가이드라인 좀 알려줘 개 씨발 !!!!!,2021.10.25 17:20:54
6483,ㅇㅇ(59.14),King The God Japan,2021.10.25 17:21:27
6484,ㅇㅇ(220.85),겁나 조촐한데,2021.10.25 17:22:27
6485,ㅇㅇ(220.85),아 집이 원룸인가보네..원룸이면 어쩔수없지 뭐,2021.10.25 17:22:46
6479,사이토유키 ,일본에서 일하다 만남 ㅋ,2021.10.25 17:22:58
6486,ㅇㅇ(203.226),ㅡpㅡ,2021.10.25 17:24:26
6415,ㅇㅇ(112.167),이 씹새끼,2021.10.25 17:25:46
6416,하남모쏠(165.132),퐁콩단오열,2021.10.25 17:25:50
6417,OriginalTast.. ,디시콘 보기,2021.10.25 17:25:50
6418,ㅇㅇ(121.130),퐁퐁남들 피눈물 흘리겠노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:25:52
6419,Iu3uI ,디시콘 보기,2021.10.25 17:25:56
6359,lililili ,P or Pong~,2021.10.25 17:25:58
6420,ㅁㄴㅇ(220.126),스시그릇은 닦을 필요가 없다...,2021.10.25 17:25:58
6468,ㅇㅇ(118.235),넌 여친한테 내조 잘해라,2021.10.25 17:26:02
6427,ㅇㅇ(175.113),욱일기콘 펄 ㅡ 럭,2021.10.25 17:26:04
6360,ㅇㅇ(110.70),-퐁-  - dc App,2021.10.25 17:26:06
6428,코카콜라0 ,씨발련,2021.10.25 17:26:08
6429,코카콜라0 ,아,2021.10.25 17:26:15
6430,ㅇㅇㅇ(110.70),전생에 나라를 구했나보네 부럽다  - dc App,2021.10.25 17:26:18
6431,ㅇㅇ(220.88),갓본에게는 항상 미안하고 고맙다 고멘,2021.10.25 17:26:19
6361,ㅇㅇ(210.204),퐁퐁 짜라~,2021.10.25 17:26:23
6432,ㅇㅇ(14.38),그...그만패....,2021.10.25 17:26:26
6433,ㅇㅇ(14.50),가이드라인 좀 줘 진심으로 좆같으니까,2021.10.25 17:26:29
6434,ㅇㅇ(116.34),우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우,2021.10.25 17:26:30
6435,ㅇㅇ(116.34),우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우,2021.10.25 17:26:34
6436,ㅇㅇ(115.21),개씨발~,2021.10.25 17:26:34
6437,ㅇㅇ(116.34),우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우리의 구원 이재명 뽑고 찢어버리자! 우,2021.10.25 17:26:37
6438,ㅇㅇ(221.144),글 내려라 씨발년아글 내리라고,2021.10.25 17:26:37
6439,베가 ,04디시콘 보기,2021.10.25 17:26:40
6440,ㅇㅇ(39.7),아..씨발 이재명 바이럴 좆같네 씨발새끼들아  - dc App,2021.10.25 17:26:42
6441,ㅇㅇ(223.39),반찬통아니고 그릇에 담겨오는거부터 상위1%,2021.10.25 17:26:44
6442,ㅇㅇ ,죽어  - dc App,2021.10.25 17:26:45
6362,ㅇㅇ(118.219),포봉 포봉,2021.10.25 17:26:46
6443,ㅇㅇ(183.102),이재명 바이럴,2021.10.25 17:26:48
6444,ㅇㅇ(121.188),개시발 백범김구 개병신,2021.10.25 17:26:49
6445,ㅇㅇ(116.39),이재명찍을게 알았으니까 그만올려,2021.10.25 17:26:55
6446,dd(58.124),이재명 바이럴 ㅋㅋㅋ,2021.10.25 17:26:55
6447,ㅇㅇ(220.122),30만원이면 아내가 쓸 돈은 거의 없는거 아니냐 혼자살아보니 1인 식비만해도 20에서 30 나오던데 좋은 아내한테는 투자 좀 더해..,2021.10.25 17:27:10
6363,ㅇㅇ(58.228),원룸에서 정성담긴 아침밥 먹기 vs 40평 신축아파트에서 눈칫밥 먹기,2021.10.25 17:27:12
6450,ㅇㅇ(163.152),퐁퐁단 피눈물행  - dc App,2021.10.25 17:27:13
6364,ㅇㅇ(220.85),조촐한걸 조촐하다햇는데 ㅋㅋㅋㅋ아다들 난리낫노 ㅋㅋㅋㅋ본인 스시녀만 50여명을 만났는데 ㅋㅋPPP 거리냐 ㅋㅋㅋ,2021.10.25 17:27:21
6451,누비에오 ,와.. 결혼 잘하셨네요.,2021.10.25 17:27:22
6452,잠잠이(119.204),디시콘 보기,2021.10.25 17:27:23
6453,네르기간테 ,뽑아야겠지..?,2021.10.25 17:27:23
6454,ㅇㅇ(203.229),후자케르나!  - dc App,2021.10.25 17:27:25
6455,ㅇㅇ(39.7),이재명찍으라는거지? ㅇㅋㅇㅋ,2021.10.25 17:27:26
6456,ㅇㅇ(218.55),넌 용돈 더줘라...,2021.10.25 17:27:26
6421,록키발보아 ,ㄹㅇㅋㅋ  - dc App,2021.10.25 17:27:27
6457,ㅇㅇ(114.199),행복해라,2021.10.25 17:27:27
6458,ㅇㅇ(175.197),저게 결혼이지ㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:27:29
6480,ㅇㅇ(118.235),ㄴ 처녀아니지? ㅋ,2021.10.25 17:27:29
6260,ㅇㅇ(180.228),결혼업체 바이럴이노,2021.10.25 17:27:35
6259,ㅇㅇ(121.142),씨발년아 부럽다 ㅠㅠ,2021.10.25 17:27:36
6365,ㅇㅇ(220.85),(58.228) // 난 이미 내집있어서..^^;,2021.10.25 17:27:38
6261,ㅇㅇㅇ(117.111),욱일기 펄럭,2021.10.25 17:27:39
6366,ㅇㅇ(185.219),아 그저 ^퐁퐁찌익^,2021.10.25 17:27:43
6262,ㅇㅇ(110.70),이게맞지 30만원을 오히려 주고 그댓가를 받아야하는거아니노ㅋㅋㄱㄲ  - dc App,2021.10.25 17:27:46
6264,ㅇㅇ(223.38),씨발년이 - dc App,2021.10.25 17:27:48
6265,ㅇㅇ(180.67),아니 이건 넘 조촐한거같은디 아침이면 ㅅㅌㅊ인데 저녁은 돈좀 올려주고 잘차려먹어라 먹는것도 다 투자야,2021.10.25 17:27:57
6367,ㅇㅇ(39.124),한녀랑 시그니엘 사느니스시녀랑 원룸 산다,2021.10.25 17:28:01
6270,ㅇㅇ(211.226),스시녀를 만나야되는데 ㅅㅂ 일어를 모르니 원,2021.10.25 17:28:02
6284,이순신(175.206),이게 진짜 결혼이지 ㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:28:07
6285,ㅇㅇ(211.204),이거보고 찢었다,2021.10.25 17:28:12
6286,녹안룡 ,30만원으로 어케 생활함..?,2021.10.25 17:28:14
6287,ㅇㅇ(223.33),토착 왜구 새끼야 하나도 안부럽다 - dc App,2021.10.25 17:28:14
6290,애국보수정다현 ,이러면 또 피싸개들 스시녀 머리채 잡을꺼 뻔하지만 보편적으로 김치녀보단 스시녀가 한국남자랑 궁합이 맞다.,2021.10.25 17:28:14
6291,ㅇㅇ(211.218),퐁퐁부인 아직 늦지 않았다!! 지금이라도 여자력 렙업좀 해라,2021.10.25 17:28:17
6292,ㅇㅇ(14.34),내조 ㅆㅅㅌㅊ네 저건 사랑이 없으면 차릴수 없는 반찬들이다,2021.10.25 17:28:18
6293,ㅇㅇ ,아 나도 스시녀 ㅠㅠ,2021.10.25 17:28:20
6368,ㅇㅇ(211.176),스시녀 50명은 니미 ㅋㅋ,2021.10.25 17:28:20
6294,ㅇㅇ(14.41),진짜 나라가 살짝 옆에 있다고 이렇게 달라질수가 있노?,2021.10.25 17:28:21
6295,ㅇㅇ(220.89),좆옹이 주작이잖아 병신들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:28:24
6296,ㅇㅇ(223.39),전생에 나라 구햇노,2021.10.25 17:28:25
6266,ㅇㅇ(211.226),일본 사람들이 원래 소식하고 검소하게 먹지않냐,2021.10.25 17:28:28
6297,ㅇㅇ(185.38),내 이럴 줄 알았다 시발 ㅋㅋㅋ 21년에 20만원으로 어떻게 버티나 했는데 역시나 이건 최고급 횟감 생선으로 매운탕 처먹는 거랑 똑같은 거임 생활비 올리면 올리는 만큼 퀄리티가 올라갈텐데,2021.10.25 17:28:28
6300,ㅇㅇ(121.134),생활비가 30이라고? 30을 따로주는게아니라?,2021.10.25 17:28:29
6301,ㅇㅇ(119.201),시발련아 용돈 좀 더 드려라…,2021.10.25 17:28:30
6302,dd(211.230),이제 도시락을 오벤또로 부르겠읍니다데스  - dc App,2021.10.25 17:28:30
6303,ㅇㅇ(211.110),일본물가로 30어케살음; 싸구려식재료 밖에못삼,2021.10.25 17:28:31
6460,ㅇㅇ(106.102),ㄹㅇ,2021.10.25 17:28:31
6304,ㅇㅇㅇ(110.70),그러니까 이재명 찍으라는거지?  - dc App,2021.10.25 17:28:34
6305,ㅇㅇ(223.39),씨발년아 저렇게 잘해주는데 생활비좀 잘줘라 거지같은새끼 - dc App,2021.10.25 17:28:36
6306,ㅇㅇ(223.38),하 씨발 ㅠㅠ 개부럽다,2021.10.25 17:28:39
6307,ㅇㅇ(58.124),어우 설거지만 보다가 이거 보니까 존나 힐링되네 ㅋㅋㅋ,2021.10.25 17:28:41
6308,ㅇㅇ(106.248),이재명 빔이나 쳐먹어라 씨이발,2021.10.25 17:28:41
6309,ㅇㅇ(124.63),씨밯년아 나 살면서 민주당만 뽑을거다 개새끼야,2021.10.25 17:28:48
6310,ㅇㅈ(14.35),야 시발년아 넌 두배 줘도 모잘라,2021.10.25 17:28:51
6311,ㅇㅇ(223.39),나도 하나코 미치코 만날래 ㅠㅠ  - dc App,2021.10.25 17:28:52
6312,ㅇㅇ(122.36),이재명 바이럴 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:28:55
6313,Gflet(175.192),글쓴이 우승!  - dc App,2021.10.25 17:28:57
6369,ㅇㅇ(220.85),(211.176) // 일본 5년 거주했었음,2021.10.25 17:28:59
6314,ㅇㅇ(223.39),부럽다 시발  - dc App,2021.10.25 17:29:00
6370,ㅇㅇ(49.169),P,2021.10.25 17:29:00
6469,ㅇㅇ(106.102),내무부장관 킹정이노,2021.10.25 17:29:00
6422,ㅇㅇ(223.39),ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:29:01
6315,12단빅맥(221.152),팩트 한 사발) 이재명 당선되면 글쓴이는 일본가서 살면 그만이다. - dc App,2021.10.25 17:29:04
6316,ㅇㅇ(39.7),씨발년아 글내려!!!!!!!,2021.10.25 17:29:06
6317,ㅇㅇ(39.7),스시녀가 최고다 제발 스시녀랑 결혼하자,2021.10.25 17:29:10
6465,ㅇㅇ(125.182),ㅅㅂ 미혼인데 이거보고 무조건 스시녀다,2021.10.25 17:29:11
6371,ㅇㅇ(1.240),퐁,2021.10.25 17:29:13
6318,ㅇㅇ(223.38),이거 보고 기시다 후미오 찍었다,2021.10.25 17:29:16
6271,ㅇㅇ(223.39),배워라 쉽다,2021.10.25 17:29:17
6319,ㅇㅇ(210.178),실베 가즈아~,2021.10.25 17:29:18
6320,ㅇㅇ(125.182),역시 대황본ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:29:21
6321,ㅇㅇ(220.89),이새끼 과거글 : 대한민국 사람이라면 모두 아는 기업에 취직했다 ㅇㅈㄹ,2021.10.25 17:29:21
6267,ㅇㅇㅇ(117.111),소식하는데.몸 입장에선 좋음,2021.10.25 17:29:22
6372,ㅇㅇ(106.102),뽀드득~~뽀드득~~,2021.10.25 17:29:22
6373,ㅇㅇ(175.117),진짜 이런게 열등감인가,2021.10.25 17:29:23
6272,ㅇㅇ(223.39),우리나라랑 어순도 똑같음,2021.10.25 17:29:25
6374,ㅇㅇ(175.123),피오퐁 씹ㅋㅋㅋ,2021.10.25 17:29:26
6323,d(106.242),니애미,2021.10.25 17:29:27
6324,ㅇㅇ(39.124),나도 도시락 좋아하긴함,2021.10.25 17:29:27
6325,ㅇㅇ(106.101),그 30만원 마저도 밥 차리는데 쓰노ㄷㄷ,2021.10.25 17:29:28
6326,ㅇㅇ(218.156),부럽노.. 시발,2021.10.25 17:29:29
6327,ㅇㅇ(221.144),ㅇㅋ   이재명 찍는다나만 좆같은 인생 살수는 없지 ㅇㅇ;;,2021.10.25 17:29:33
6328,ㅇㅇ(112.161),저건 ㄹㅇ 스시녀가 존나 불쌍하네 능력 좆도 없는 색기만나서 생활비 30받고 살림하노,2021.10.25 17:29:34
6375,검은조직 ,디시콘 보기,2021.10.25 17:29:35
6337,ㅇㅇ(175.200),부인한테 돈주는 딴남자가 있다는 생각은 전혀 못하겠네 ㅋㅋㅋㅋ실제로 남편이 돈 안주면 따로 뒷주머니 차는 이야기 많음,2021.10.25 17:29:37
6338,ㅇㅇ ,벤또 왤케 왤케임,2021.10.25 17:29:37
6339,ㅇㅇ(110.70),솔직히 조촐하긴한데 식비가 30이면 저정도도 존나 훌륭한거같다 도시락은 걍 ㅆㅅㅌㅊ다 김치년들한테 30주고 하라면 맨밥에 김치랑 김만 올려줘도 감지덕지일거 같은데 이미지가 어쩜 이렇게 다르노 바로 옆나란데..  - dc App,2021.10.25 17:29:39
6340,ㅇㅇ(211.36),저런거 보여주면 야붕이들 시무룩해서 바로 패인데 아직도 승리중 ㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:29:41
6376,ㅇㅇ(223.38),220.85 얘 피싸개임ㅋㅋㅋㅋㅋㅋㅋ 말투보면 모르노,2021.10.25 17:29:41
6341,ㅇㅇ(115.94),울었다 이재명찍는다,2021.10.25 17:29:42
6342,ㅇㅇ(39.7),"이거보고 30대 영남대 졸업생 마시로(=파오후, 샨테, 피고인, 테드카진스키) 통한의 념글 주작 예정 ㅋㅋㅋㅋ",2021.10.25 17:29:42
6343,ㅇㅇ(123.214),진짜 초라하고 하나도 안 부럽다,2021.10.25 17:29:44
6345,ㅇㅇ(121.188),부럽네,2021.10.25 17:29:45
6346,ㅇㅇ(121.137),기만자쉑 ㅁㅈㅎ,2021.10.25 17:29:50
6347,ㅇㅇ(223.39),이거보고 기시다 후미오로 굳혓다.,2021.10.25 17:29:50
6348,ㅇㅇ(106.101),눈물난다ㅠㅠ 니들도 퐁퐁남  겪어보면 ㅠ 이런거 보면 눈물난다ㅠㅠ,2021.10.25 17:29:50
6349,ㅇㅇ(211.204),그 아내 여동생이라던가 없냐,2021.10.25 17:29:52
6350,ㅇㅇ(125.182),이게 결혼이지 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 거 퐁퐁이들 밥은 먹고 다니고 ???,2021.10.25 17:29:52
6322,ㅇㅇ(211.207),아 시발 재명이형! 세상이 왜이래,2021.10.25 17:29:53
6351,ㅇㅇ(39.122),이거보고 구라안까고 무조건 이재명찍음 ㅇㅇ,2021.10.25 17:29:53
6352,ㅇㅇ(175.117),페페짤 왜 안올리노 시발,2021.10.25 17:29:53
6353,ㅇㅇ(115.137),이재명 당선되면 니 탓이다.,2021.10.25 17:29:53
6354,196번 ,결혼 잘했다 부롭다,2021.10.25 17:29:55
6355,ㅇㅇ ,이재명... 조선의 멸망.. 유일한 구원..,2021.10.25 17:29:59
6356,애국보수정다현 ,중요한건 생활비 30이 아닌데 이상한데 물고 늘어지는 퐁퐁남들 많네;,2021.10.25 17:29:59
6470,ㅇㅇ(117.111),넌 좀 빌면서 살아야될듯 ㅋㅋㅋㅋ,2021.10.25 17:29:59
6358,ㅇㅇ(106.102),글쓴이님현재 일본거주중인거?,2021.10.25 17:30:01
6329,ㅇㅇ ,얘 키는 존나크다더라,2021.10.25 17:30:02
6160,ㅇㅇ(222.101),이재명으로 간다,2021.10.25 17:30:05
6161,ㅇㅇ(125.180),이거보고 이재명뽑기로했다 시발년아 ㅋㅋ,2021.10.25 17:30:06
6377,ㅇㅇ(59.14),이 시발년 레즈였노 ㅋㅋㅋㅋ,2021.10.25 17:30:11
6162,ㅇㅇ(211.197),이재명 찍는다,2021.10.25 17:30:12
6423,ㅇㅇ(121.178),ㄹㅇ,2021.10.25 17:30:12
6163,ㅇㅇ(104.200),한국말하는 스시녀 = k pop 빠순이 김치화된년ㅋㅋㅋ 이미 신오쿠보 한남들이 많이 따먹고 돌림빵하다가너가 마지막에 설거지하는걸꺼다 ㅋㅋㅋㅋㅋㅋㅋㅋ처녀 아니지? 버려 ㅋㅋ,2021.10.25 17:30:13
6159,ㅇㅇ ,일본에서 만났대 일하면서,2021.10.25 17:30:15
6167,ㅇㅇ(118.235),ㅇㅈㅁ바이럴추,2021.10.25 17:30:16
6378,ㅇㅇ(220.123),^퐁^,2021.10.25 17:30:16
6379,ㅇㅇ(223.62),원룸이면 맨날 살 스쳐서 섹스 더 자주하고 사이 돈독해지는데 모르네 ㅋㅋ  - dc App,2021.10.25 17:30:17
6168,ㅇㅇ(223.62),퐁~퐁~  네가 어디에 있든,2021.10.25 17:30:18
6169,ㅇㅇ(58.233),도시락이 ㄹㅇ 빡치네  - dc App,2021.10.25 17:30:19
6170,ㅇㅇ(58.227),퐁퐁이들 더 오열하라고 이재명 찍는다,2021.10.25 17:30:20
6171,ㅇㅇ(122.35),설거지론이 처녀 따지는게 아니라는 증거지. 저러면 내가 설거지 한다는 생각이 들 것 같냐?ㅋㅋㅋ,2021.10.25 17:30:21
6298,ㅇㅇ(180.67),ㄹㅇ 그좋은 와이프대꼬 생활비땜에 절케먹냐,2021.10.25 17:30:22
6172,ㅇㅇ(210.96),이재명 바이럴 오지네,2021.10.25 17:30:25
6173,ㅇㅇ(119.194),"동탄 부동산 카페에 올라왔던 글 생각나네. 남편이 야근마치고 집에왔는데 마누라 자고있고, 남편 밥이랍시고 고봉민 김밥에서 사온 돈까스김밥 먹다남은 반줄 식탁에 올려 놓은거 사진 올리면서 다른 집도 이렇게 사냐며 신세한탄 하던 글 ㅋㅋㅋㅋㅋ 지금 생각해보면 요즘 유행하는 설거지론에 완전히 부합하는 가정이 아닐까 싶다. 삼성다니는 공대출신 찐따남들 많이 사는 동네가 동탄이란거 생각해보면 ㅋㅋㅋㅋㅋ",2021.10.25 17:30:25
6357,ㅇㅇ ,닉이 거슬립니다,2021.10.25 17:30:25
6174,ㅇㅇ(211.36),퐁퐁이들 밀키트쳐먹으면 기만자인데 초라하긴 ㅈㄹ ㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:30:28
6175,ㅇㅇ(211.208),저게 결혼이지 ㄹㅇ ㅋㅋㅋ,2021.10.25 17:30:28
6380,ㅇㅇ(115.94),피오퐁 ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:30:28
6176,ㅇㅇ(125.177),진짜로 이재명 찍는다,2021.10.25 17:30:32
6273,ㅇㅇ(223.38),ㄴ씨발련아 한자만 알면 쉽겠지 한자가 문제인데,2021.10.25 17:30:34
6177,ㅇㅇ(211.207),스시녀 만난 사람 주변에 몇 없는데 진짜 조오온나 부러움. 세상에서 제일 부러운 케이스,2021.10.25 17:30:36
6178,ㅇㅇ(116.123),식비 30이겠지,2021.10.25 17:30:39
6263,ㅇㅇ(112.161),그건 니마인드가 에미터진 씨발색기고,2021.10.25 17:30:40
6179,ㅇㅇ(1.226),ㅈㄴ 성공했네 씨발새끼,2021.10.25 17:30:41
6381,ㅇㅇ(220.116),P or pong~ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021.10.25 17:30:42
6180,ㅇㅇ(175.121),이거 보고 이재명 뽑기로 결심했다,2021.10.25 17:30:44
6181,ㅇㅇ(39.123),이거보고 이재명뽑기로했다,2021.10.25 17:30:47
6183,ㅇㅇ(14.9),씨발 그만패,2021.10.25 17:30:49
6184,ㅇㅇ(118.235),을사어벤져스..당신들은 도대체 어디까지 내다보신겁니까..,2021.10.25 17:30:49
6185,ㅇㅇ(211.217),하 씨발… 재명이형!!,2021.10.25 17:30:49
6288,ㅇㅇ(223.38),P,2021.10.25 17:30:49
