,닉네임,댓글,날짜
0,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 13:12:35
1,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 13:12:36
2,ㅇㅇ(121.182),중산고사대박,2014.04.22 01:40:33
3,ㅇㅇ(114.199),기말 올A 받게 해주세요 유적 성지순례,2014.05.10 03:22:10
4,df(223.62),지금보단 나아지게 해주세요,2014.05.15 21:37:00
5,신초도↗ ,섹스,2014.05.21 04:45:05
6,ㅇㅇ(117.111),여...여긴.....,2014.08.08 01:31:45
7,ㅇㅇ(211.226),죽기전에 좆꼴데 우승보게해주세여,2014.08.10 20:30:03
8,드길2 ,성지순례,2014.08.24 02:37:01
9,달갤용 ,성지순례....행시붙게해주세요,2014.08.29 01:30:52
10,dd(220.126),이번 중간고사 찍은거 다 맞게 해주세요 성지순례,2014.09.22 01:01:16
11,미래에서와쓰요(125.57),성지순례 합니다 2002년글이라니,2014.09.30 19:54:07
12,라스(121.88),손발이 오그라든다 는 아직도씀ㅋㅋㅋ,2014.10.16 23:34:54
13,됐어냅둬(59.7),엔하위키타고 성지순례왔습니다. 세종시로 이사할껀데 무탈하게 해주세요 ●█▀█▄,2014.10.27 16:21:39
14,ㅇㅇ(119.193),수능!!!!!!!!!!!!초대박나게해주세요!!!!!!!!!!!!!!앾!!!!!!!!!!!!!,2014.10.29 12:09:22
15,미래인대학생ㅂ(218.55),오늘 9시 내로 레포트 다 쓰게 해주세요 성지순례 왔습니다 ●█▀█▄,2014.11.03 04:07:53
16,BOT ,"안녕하세요. 디시 트래픽의 암적인 존재, 디시봇입니다.",2014.12.30 20:38:59
17,ㅇㅇ(121.179),성지순례왔ㅆ읍니다. 원하는 일 다 이루어지게 해주소서,2015.01.20 13:36:01
18,dd(112.155),상반기내로 좋은 데 취직하게 해주세요,2015.01.20 13:58:41
19,그러니까(59.24),방법한다,2015.02.07 15:25:46
20,北越急行(121.158),모든 사람들이 죽지 않고 영원히 살기를,2015.02.22 16:04:56
21,春子 ,みんなぁぁぁぁぁぁぁぁ！！！！！！みんなのアイドルはるこだよぉぉぉぉぉぉぉぉ！！！！！！,2015.03.11 13:30:25
22,ㄴㅇㄱ(223.62),저 이미지가 엑박이 안되게해주세요,2015.04.21 15:59:02
23,ㅁㅈ(175.214),끼에에에에에엑,2015.05.25 13:57:49
24,ㅇㅇ(218.235),노무현만세!,2015.08.28 18:30:46
25,ㅇㅇ(118.36),10년도 더 전의 일이라니,2015.09.29 11:30:26
26,군화오덕교 ,방법한다,2015.10.02 21:01:59
