,닉네임,댓글,날짜
0,ㅇㅇ(119.194),9090추,2020.07.03 22:12:06
1,비스뀌 ,부조리당하면 빠따들고 너죽고 나죽자 해야지 호구처럼 당하고만 있냐 ㅉㅉ 그럴거면 인생 왜사냐,2020.07.31 03:53:25
2,앞이안보여 ,그러다가 죽는거야 이양반아,2020.08.05 11:44:25
3,비스뀌 ,? 죽으면 다시 태어나면 되지 ?,2020.08.05 18:20:17
4,ㅇㅇ(223.62),이열 윤회론.... 참된 수행자로다.,2020.08.05 21:21:33
5,silverskul(39.116),니가 군대가면 해봐라,2020.11.14 16:36:43
6,ㅇㅇ(223.62),9292추,2020.09.27 21:37:11
7,ㅇㅇ(117.111),9367 추,2020.10.29 07:01:15
8,ㅇㅇ(180.233),385 비추,2020.10.29 23:34:31
9,ㅇㅇ(223.38),9401추,2020.11.07 19:25:10
10,ㅇㅇ(115.138),9477추,2020.12.01 19:32:12
11,ㅇㅇ(59.17),ㄹㅈㄷ,2020.12.01 19:41:40
12,ㅇㅇ(122.44),9520,2020.12.01 19:43:50
13,ㅇㅇ(106.102),섹스,2020.12.14 21:24:36
14,ㅇㅇ(203.251),9521추,2021.01.01 22:25:52
15,ㅇㅇ(121.168),9615,2021.01.04 17:46:39
16,ㅇㅇ(59.24),보고 우럭따,2021.01.05 17:27:36
17,ㅇㅇ(121.156),9652추,2021.01.21 02:31:30
18,ㅇㅇ(223.38),9669추,2021.01.29 03:15:55
19,ㅇㅇ ,9692추 올라가라,2021.02.08 17:59:57
20,Dyna_Red ,탈갑옷 시급하다,2021.02.11 18:09:38
21,ㅇㅇ(125.140),아직도 1만추 못갔노 ㅋㅋ,2021.02.25 16:24:52
22,ㅇㅇ(125.140),9715,2021.02.25 16:25:21
23,ㅇㅇ(125.177),ㅋㅋ ㅎㅇㅌ,2021.02.25 23:41:21
24,ㅇㅇ(175.197),9721추  - dc App,2021.02.26 13:35:00
25,내맘속에메가톤맨 ,눈물난다,2021.03.01 22:54:02
26,ㅇㅇ(27.177),9755추계정닉 추천 2300,2021.03.14 22:34:56
27,송그리(221.150),추추,2021.03.21 02:43:13
28,ㅇㅇ ,9801추,2021.03.21 03:08:17
29,ㅇㅇ(121.141),내가 100추 늘렸다,2021.03.21 03:43:01
30,부머 ,개시팔거 ㅋㅋ,2021.03.21 03:57:42
31,Amadioha ,디시콘 보기,2021.03.21 04:10:28
32,ㅇㅇ(121.166),ㅂㄱㅈ,2021.06.10 10:42:36
