,닉네임,댓글,날짜
0,샤르떼 ,1,2010.05.24 15:17:32
1,z(180.92),z,2010.05.25 22:00:32
2,ㅇ(122.44),이대로 된거 청와대로 돌진한다,2010.06.26 04:25:21
3,성지순례안하네(59.8),내가끝이네,2010.07.04 19:01:13
4,고정닉 ,성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성,2010.07.06 18:59:43
5,긁(58.120),이게 10년전....,2020.08.21 12:00:19
6,Jet★ ,미래에서 왔습니다,2010.07.10 21:33:35
7,피즐뱅 ,\'ㅅ\',2010.07.17 00:11:55
8,막투 ,님 제밌어요 계속그리삼,2010.07.23 11:33:57
9,의자양반 ,수도꼭지에서 사이다가 나오게 해주세요,2010.07.28 19:42:47
10,1902(112.155),성지순례 ㅠㅠㅠ,2010.08.02 21:45:44
11,준치◕‿◕ ,준치는 생선임다,2010.08.17 02:43:49
12,박ㅈㅈ(115.41),내가 끝ㅋ,2010.08.22 18:36:22
13,고래아저씨 ,끝이 아니라 이제부터 시작이다. 2012년에는 지구가 멸망하지않습니다.,2010.09.09 09:28:05
14,ㅁㄴㅁㄴ(59.86),님들아 이거 결국 합성이에요 진짜에요?? 답변이 몇일이걸릴지도모르고 내가기억을해내서 확인할지모르지만 답변좀해주십시요..,2010.09.18 20:43:41
15,ㅁㄴㅁㄴ(59.86),님들아 이거 결국 합성이에요 진짜에요?? 답변이 몇일이걸릴지도모르고 내가기억을해내서 확인할지모르지만 답변좀해주십시요..,2010.09.18 20:43:47
16,ㅁㄴㅁㄴ(59.86),님들아 이거 결국 합성이에요 진짜에요?? 답변이 몇일이걸릴지도모르고 내가기억을해내서 확인할지모르지만 답변좀해주십시요..,2010.09.18 20:43:52
17,ㅇㅇ(220.73),합성아님 10년 걸렸네요,2020.07.06 17:41:52
18,ㅇㅇ(114.204),끝,2010.09.19 20:39:13
19,☣➎➊➎☣ ,이순규,2010.10.03 00:59:36
20,123 ,1,2010.10.11 03:20:28
21,디그다디그다닥트닥트닥트 ,디그다! 디그다! 닥트닥트닥트!,2010.10.12 01:51:23
22,ㅇ(61.82),이제 내가 끝. 내가 종결할테다,2010.10.13 21:59:36
23,펭귄사랑♡ ,ㅡㅡ,2010.11.18 20:02:27
24,그냥(118.221),내가 마지막이네 ㅇㅇ,2010.11.29 04:51:55
25,횽아들앙 ,미안 내가 마지막이야...,2010.12.01 17:18:29
26,파란고양이♬ ,아니 내가 마지막,2010.12.05 03:07:10
27,ㅇㄴㅅ(211.201),내가 마지막이여,2010.12.15 13:34:59
28,ㄴㄴ(180.230),내가마지막이다ㅋ,2010.12.16 00:12:21
29,코리닛、 ,그 성지순례로다가 서지승리해!,2010.12.25 01:14:27
30,Ice Pack ,너의 차가아니면 되었느니라 신경을 끄거라,2011.01.04 23:55:27
31,ElOrZr ,난 티퀴가 아니야,2011.01.26 09:48:54
32,사랑돋긔. ,나좋아하는애 있어?,2011.03.12 15:33:41
33,준치◕‿◕ ,준치는 생선입니다,2011.04.12 18:51:59
34,코이호이 ,코,2011.05.08 22:09:03
35,코이호이 ,이,2011.05.08 22:09:09
36,코이호이 ,호,2011.05.08 22:09:19
37,코이호이 ,이,2011.05.08 22:09:30
