,닉네임,댓글,날짜
0,뚜지(211.245),넷마블 스톤에이지 뚜지,2008.07.16 19:12:11
1,쿠(218.48),암클럽디제이 암고나메큐뭅 암디제이쿠 암고나메큐댄스,2008.07.19 00:02:38
2,죽스프 ,뚫훍뚫훍 따다다,2008.07.20 01:12:22
3,어(218.50),대구네,2008.08.02 06:55:19
4,전자팔찌 ,로리는 진리♡~,2008.08.08 01:48:18
5,야토(59.9),밑에서 구멍으로 물쏘아올린거네 ㅡㅡ 하마터면 낚일뻔,2008.08.08 17:51:27
6,몽지다 ,우왕 외대인인듯,2008.08.11 22:54:32
7,asd(125.180),ㅇ,2008.09.24 04:53:10
8,엄허히밤!(222.237),성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄,2008.10.03 01:11:13
9,윤선민씨~(61.107),윤선민씨~ 지금은 직장 6년차인가요?? ㅋㅋ 정말 오래가는 리플이군요,2008.10.10 00:48:14
10,기타쟁이. ,성지순례중,2008.10.13 13:02:34
11,-赤- ,성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄,2008.10.23 15:31:22
12,-赤- ,성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄,2008.10.23 15:31:22
13,ㅇㅇ(218.106),뭥미?,2008.11.11 20:49:22
14,성(211.214),성순,2008.12.18 21:15:06
15,복순이 ,우물 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2009.02.14 03:13:25
16,죶-와 ,죶이와싱턴,2009.02.26 12:25:53
17,1(125.178),성순,2009.04.18 20:56:56
18,준치◕‿◕ ,준치는 생선입니다.,2009.05.23 14:37:47
19,이상기체 ,+1,2009.07.13 19:50:05
20,이상기체 ,+1,2009.07.13 19:50:05
21,개념 ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ비새는거봨ㅋㅋㅋㅋㅋㅋ,2009.11.17 14:13:27
22,정다영 ,^ㅡ^,2010.01.19 15:43:23
23, 지영 ,성지순례,2010.01.22 19:46:58
24,ring ding do.. ,미시시피 님 행복하세여,2010.01.22 20:15:05
25, 지영 ,성지순례^_^;;,2010.01.25 17:07:32
26,ㅇㅇㅇ(221.155),"성지순례中 이제부터 시작입니다,,,",2010.02.05 00:42:45
27,싯다르타 ,복고풍이닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2010.02.14 21:18:07
28,7층 ,성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다... ●█▀█▄성지 순례중입니다,2010.02.16 20:31:21
29,리빙포인트 ,힛갤순회중,2010.02.19 10:02:53
30,설리돌이 ,헉~,2010.03.21 22:19:14
31,반사 ,ㅋㅋㅋㅋㅋ,2010.03.22 01:56:37
32,반사 ,존나웃기네,2010.03.22 01:56:39
33,반사 ,성,2010.03.22 01:56:40
34,반사 ,지,2010.03.22 01:56:40
35,반사 ,순,2010.03.22 01:56:42
36,반사 ,례,2010.03.22 01:56:42
37,반사 ,★,2010.03.22 01:56:43
38,seize ,Hit Gallery Pilgrimage.,2010.04.04 15:42:33
39,개척자〃 ,힛갤이요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2010.04.05 18:46:48
40,ㅁ(121.190),죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니 죽었니 살았니,2010.04.20 03:50:35
41,샤르떼 ,1,2010.05.24 15:15:22
42,샤르떼 ,1,2010.05.24 15:17:29
43,엔제 ,엔제쨩 사랑해`,2010.06.20 01:11:35
44,고정닉 ,성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성지순례자가 되고있습니다.●█▀█▄성,2010.07.06 18:58:46
45,임민채는봐라(118.216),200플 댓글돌이 소환!,2010.07.18 23:08:49
46,막투 ,님 제밌어요 계속그리삼,2010.07.23 11:33:06
47,1902(112.155),성지순례 ㅠㅠㅠ,2010.08.02 21:45:26
48,준치◕‿◕ ,준치는 생선임다,2010.08.17 02:43:48
49,☣➎➊➎☣ ,이순규,2010.10.03 00:59:36
50,123 ,1,2010.10.11 03:20:28
51,디그다디그다닥트닥트닥트 ,디그다! 디그다! 닥트닥트닥트!,2010.10.12 01:51:22
52,펭귄사랑♡ ,흠,2010.11.18 20:01:39
53,액셀러레이터 ,"※12월 8~10일 사이 힛갤 등극, 찌질열전 등극, tvn화성인X-파일 전화인터뷰로 삼관왕 달성! 범상한 키배러가 쌓을 수 없는 성취임을 자각하고, \'보다 더 유명해지기 위한 발버둥\'이었던 인터넷 스타 사업은 여기서 종결지을 것을 엄중히 선언합니다. 특히 찌질열전 등극엔 예기치 않게 힛갤, 루리웹, 애니존 활동 효과를 톡톡히 봤네요. 그당시 활동할 때 여러분들이 너무 열광적인 반응을 보여주셨는데 하늘의 도우심 없인 불가능한 현상이었다 생각하구요. tvn 출연하기엔 부족한 상태인 것 같으니 한 15년 뒤에나 오덕페이트 이펙트 좀 가라앉았을때 \'애니케릭터를 딸이라 생각하는 아저씨\'로 방송 도전하고 싶습니다 (뻥).",2010.12.13 11:15:37
54,ElOrZr ,난 티퀴가 아니야,2011.01.26 09:48:38
55,준치◕‿◕ ,준치는 생선입니다,2011.04.12 18:51:59
56,홍어얌 ,성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성지순례성,2011.05.09 10:22:46
57,멀머던* ,안녕하세요카갤뉴비멀머던*입니다잘부탁드려요..,2011.05.22 00:26:29
58,멀머던* ,안녕하세요 카갤뉴비 멀머던* 입니다 잘부탁드려요..,2011.05.26 23:33:45
59,멀머던* ,123,2011.05.27 16:52:37
60,멀머던* ,안녕하세요 카갤뉴비 멀머던* 입니다 잘부탁드려요..,2011.05.28 13:25:08
61,멀머던* ,안녕하세요 카갤뉴비 멀머던* 입니다 잘부탁드려요..,2011.05.28 17:12:41
62,ProGaymer ,●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요●█▀█▄게이마스터를 찾게해주세요,2011.05.29 00:31:04
63,김주♡ㅝㄴ ,헐,2011.07.04 07:15:04
64,유아틱그랜져 ,엑스,2011.08.13 11:29:16
65,카미코토 ,언제나 미사카만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.20 23:00:33
66,카미코토 ,미사카 미코토만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.20 23:17:21
67,설수교 ,2001년 ㅋㅋㅋ,2011.08.21 10:55:37
68,카미코토 ,언제나 미사카만 바라봅니다 ^ㅅ^ 흐ㅡ규ㅠ,2011.08.22 16:55:27
69,[JC]死방통행 ,여기서부터는 死방통행이다!,2011.08.25 19:54:59
70,[JC]死방통행 ,여기서부터는 死방통행이다!,2011.08.25 19:56:29
71, 조심해라 ,갤럭시U가 갑이지 ㅡㅡ,2011.09.04 18:18:38
72,대인배✿ ,대인배,2011.09.05 10:21:19
73,대인배✿ ,가라 미스터심플!,2011.09.05 16:17:48
74,카미코토 ,달콤한 설리 흐ㅡ규ㅠ,2011.09.12 19:47:56
75,nera ,안녕하세요. 미래에서 왔습니다.,2011.11.19 00:37:54
76,유입종자조까 ,성지순례,2012.02.29 14:50:03
77,승락앤락 ,2014년도의 글은 내가 먼저적는다,2014.01.25 18:26:36
78,나는야잇이라네(183.107),그 뒤로 내가,2014.02.05 15:48:52
79,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:10
80,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:12
81,마때때본스위츠 ,프레지던트 바넬로피 본 스위츠 만세 슈-가-러-시,2014.03.22 01:15:14
82,d(218.150),성지순례,2014.12.10 21:38:29
83,BOT ,"안녕하세요. 디시 트래픽의 암적인 존재, 디시봇입니다.",2014.12.30 20:38:57
84,뭐지ㅡ ,~'';,2015.01.14 22:10:32
85,春子 ,みんなぁぁぁぁぁぁぁぁ！！！！！！みんなのアイドルはるこだよぉぉぉぉぉぉぉぉ！！！！！！,2015.03.10 20:11:05
86,dd(175.120),2016 퍞ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2016.02.09 05:16:02
87,통구이(211.203),노 고무통 현 대전령,2016.07.20 14:19:28
