,닉네임,댓글,날짜
999,KULA ,말이 쉽냐..,2010.11.23 22:37:14
1000,ㅁㄴㅇㄹ ,그거 검문해서 올리는 모양인데 세로드립치면 안됨? 나 세로드립쳤는데 왠지 통과될거같은대,2010.11.23 22:38:21
904,예언과적중 ,형님들 성지순례 왔습니다.,2011.01.05 23:04:21
905,ㅁㄴㅇㄹ(211.201),성,2011.01.05 23:05:25
906,ㅁㄴㅇㄹ(211.201),지,2011.01.05 23:05:26
907,ㅁㄴㅇㄹ(211.201),순,2011.01.05 23:05:30
908,ㅁㄴㅇㄹ(211.201),례,2011.01.05 23:05:33
909,ㅁㄴㅇㄹ(211.201),왔,2011.01.05 23:05:34
912,ㅁㄴㅇㄹ(211.201),다,2011.01.05 23:05:36
910,ㅁㄴㅇㄹ(211.201),습,2011.01.05 23:05:42
911,ㅁㄴㅇㄹ(211.201),니,2011.01.05 23:05:44
913,ff(218.148),성지순례  ㅋㅋ  너때문에  북한사람 총살 ㅋㅋㅋ  으휴  어쩔래 이제,2011.01.05 23:06:06
914,ㅁㄴㅇㄹ(122.254),성지순례,2011.01.05 23:06:24
915,eric_clapton ,김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼 김정일 개새끼,2011.01.05 23:08:48
916,뉴비김 ,▶▷▶▷▶▷김정일개새1끼 연북갤 찬양하러 왔습니다 네이버메인 축◁◀◁◀◁◀,2011.01.05 23:09:02
917,ㅋㅋㅋ(111.193),성지순례 2 ㅋㅋㅋ,2011.01.05 23:09:24
918,소염수염 ,빨갱이 한놈 아오지보낸거 축하드리러 왔습니다. ㅊㅋㅊㅋ 성지순례,2011.01.05 23:09:42
